ID,technology,source,source_type,year,type,country,capacity_definition,comment,capacity,energy_source_level_0,energy_source_level_1,energy_source_level_2,energy_source_level_3,technology_level
3784,Geothermal,EUROSTAT,"Statistical Office",2000,"Installed capacity in MW",DE,Unknown,,0,0,0,1,1,1
3785,Hydro,EUROSTAT,"Statistical Office",2000,"Installed capacity in MW",DE,Unknown,,9485,0,0,1,1,0
3786,Marine,EUROSTAT,"Statistical Office",2000,"Installed capacity in MW",DE,Unknown,,0,0,0,1,1,1
3787,"Non-renewable waste",EUROSTAT,"Statistical Office",2000,"Installed capacity in MW",DE,Unknown,,1470,0,0,1,1,1
3788,Nuclear,EUROSTAT,"Statistical Office",2000,"Installed capacity in MW",DE,Unknown,,22396,0,1,1,1,1
3789,"Other bioenergy and renewable waste",EUROSTAT,"Statistical Office",2000,"Installed capacity in MW",DE,Unknown,,129,0,0,0,1,1
3790,Photovoltaics,EUROSTAT,"Statistical Office",2000,"Installed capacity in MW",DE,Unknown,,114,0,0,0,0,1
3791,"Pumped storage",EUROSTAT,"Statistical Office",2000,"Installed capacity in MW",DE,Unknown,,4654,0,0,0,0,1
3792,Wind,EUROSTAT,"Statistical Office",2000,"Installed capacity in MW",DE,Unknown,,6095,0,0,1,1,0
3793,"Differently categorized solar",EUROSTAT,"Statistical Office",2000,"Installed capacity in MW",DE,Unknown,,0,0,0,0,0,1
3794,Solar,EUROSTAT,"Statistical Office",2000,"Installed capacity in MW",DE,Unknown,,114,0,0,1,1,0
3795,"Differently categorized wind",EUROSTAT,"Statistical Office",2000,"Installed capacity in MW",DE,Unknown,,6095,0,0,0,0,1
3796,"Bioenergy and renewable waste",EUROSTAT,"Statistical Office",2000,"Installed capacity in MW",DE,Unknown,,474,0,0,1,0,0
3797,"Renewable energy sources",EUROSTAT,"Statistical Office",2000,"Installed capacity in MW",DE,Unknown,,16168,0,1,0,0,0
3798,"Differently categorized fossil fuels",EUROSTAT,"Statistical Office",2000,"Installed capacity in MW",DE,Unknown,,78850,0,0,1,1,1
3799,Total,EUROSTAT,"Statistical Office",2000,"Installed capacity in MW",DE,Unknown,,118884,1,0,0,0,0
3800,"Biomass and biogas",EUROSTAT,"Statistical Office",2001,"Installed capacity in MW",DE,Unknown,,565,0,0,0,1,1
3801,"Concentrated solar power",EUROSTAT,"Statistical Office",2001,"Installed capacity in MW",DE,Unknown,,0,0,0,0,0,1
3802,"Fossil fuels",EUROSTAT,"Statistical Office",2001,"Installed capacity in MW",DE,Unknown,,78625,0,1,0,0,0
3803,Geothermal,EUROSTAT,"Statistical Office",2001,"Installed capacity in MW",DE,Unknown,,0,0,0,1,1,1
3804,Hydro,EUROSTAT,"Statistical Office",2001,"Installed capacity in MW",DE,Unknown,,9393,0,0,1,1,0
3805,Marine,EUROSTAT,"Statistical Office",2001,"Installed capacity in MW",DE,Unknown,,0,0,0,1,1,1
